	1:Selke	(Global radiation)	DAILY								
	nodata	-9999													
	start	2010	1	1	0	0	(YYYY	MM	DD	HH	MM)
	end	2016	1	1	0	0	(YYYY	MM	DD	HH	MM)
Date	G-R
2011 12 06	1.817
2011 12 07	1.315
2011 12 08	1.789
2011 12 09	2.063
2011 12 10	2.376
2011 12 11	3.336
2011 12 12	1.269
2011 12 13	1.262
2011 12 14	1.337
2011 12 15	1.332
2011 12 16	1.247
2011 12 17	1.854
2011 12 18	1.283
2011 12 19	1.281
2011 12 20	1.239
2011 12 21	1.281
2011 12 22	1.241
2011 12 23	1.242
2011 12 24	1.245
2011 12 25	1.249
2011 12 26	1.296
2011 12 27	1.258
2011 12 28	4.038
2011 12 29	1.316
2011 12 30	1.414
2011 12 31	2.566
2012 01 01	1.297
2012 01 02	1.307
2012 01 03	2.264
2012 01 04	2.042
2012 01 05	1.870
2012 01 06	4.220
2012 01 07	1.372
2012 01 08	1.436
2012 01 09	1.404
2012 01 10	2.249
2012 01 11	1.440
2012 01 12	1.459
2012 01 13	1.627
2012 01 14	4.901
2012 01 15	2.530
2012 01 16	1.544
2012 01 17	1.567
2012 01 18	4.595
2012 01 19	1.617
2012 01 20	1.749
2012 01 21	1.670
2012 01 22	2.021
2012 01 23	2.108
2012 01 24	1.756
2012 01 25	1.787
2012 01 26	6.413
2012 01 27	1.851
2012 01 28	1.884
2012 01 29	1.918
2012 01 30	4.691
2012 01 31	6.722
2012 02 01	7.122
2012 02 02	7.224
2012 02 03	3.533
2012 02 04	5.230
2012 02 05	7.674
2012 02 06	7.883
2012 02 07	3.575
2012 02 08	6.425
2012 02 09	2.754
2012 02 10	8.260
2012 02 11	5.618
2012 02 12	4.236
2012 02 13	2.531
2012 02 14	2.579
2012 02 15	6.489
2012 02 16	7.054
2012 02 17	4.296
2012 02 18	3.912
2012 02 19	3.594
2012 02 20	9.289
2012 02 21	2.930
2012 02 22	6.734
2012 02 23	3.037
2012 02 24	3.091
2012 02 25	4.555
2012 02 26	7.756
2012 02 27	5.392
2012 02 28	3.313
2012 02 29	3.370
2012 03 01	3.428
2012 03 02	8.212
2012 03 03	7.625
2012 03 04	3.604
2012 03 05	4.034
2012 03 06	13.015
2012 03 07	5.871
2012 03 08	7.683
2012 03 09	11.280
2012 03 10	4.260
2012 03 11	4.226
2012 03 12	4.089
2012 03 13	4.151
2012 03 14	4.214
2012 03 15	11.614
2012 03 16	15.613
2012 03 17	13.785
2012 03 18	5.317
2012 03 19	16.083
