	3:Selke	(Abfluss)	DAILY								
	nodata	-9999									
	n	1	measurements	per	day	"[1,"	1440]				
	start	1993	1	1	0	0	(YYYY	MM	DD	HH	MM)
	end	2016	1	1	0	0	(YYYY	MM	DD	HH	MM)
YYYY	MM	DD	HH	NN	IN						
1994	2	21	0	0	3.04						
1994	2	22	0	0	-9999						
1994	2	23	0	0	-9999						
1994	2	24	0	0	-9999						
1994	2	25	0	0	-9999						
1994	2	26	0	0	-9999						
1994	2	27	0	0	-9999						
1994	2	28	0	0	-9999						
1994	3	1	0	0	-9999						
1994	3	2	0	0	-9999						
1994	3	3	0	0	-9999						
1994	3	4	0	0	-9999						
1994	3	5	0	0	-9999						
1994	3	6	0	0	-9999						
1994	3	7	0	0	-9999						
1994	3	8	0	0	-9999						
1994	3	9	0	0	-9999						
1994	3	10	0	0	-9999						
1994	3	11	0	0	-9999						
1994	3	12	0	0	-9999						
1994	3	13	0	0	-9999						
1994	3	14	0	0	-9999						
1994	3	15	0	0	-9999						
1994	3	16	0	0	-9999						
1994	3	17	0	0	-9999						
1994	3	18	0	0	-9999						
1994	3	19	0	0	-9999						
1994	3	20	0	0	-9999						
1994	3	21	0	0	-9999						
1994	3	22	0	0	-9999						
1994	3	23	0	0	-9999						
1994	3	24	0	0	-9999						
1994	3	25	0	0	-9999						
1994	3	26	0	0	-9999						
1994	3	27	0	0	-9999						
1994	3	28	0	0	-9999						
1994	3	29	0	0	-9999						
1994	3	30	0	0	-9999						
1994	3	31	0	0	-9999						
1994	4	1	0	0	-9999						
1994	4	2	0	0	-9999						
1994	4	3	0	0	-9999						
1994	4	4	0	0	-9999						
1994	4	5	0	0	-9999						
1994	4	6	0	0	-9999						
1994	4	7	0	0	-9999						
1994	4	8	0	0	-9999						
1994	4	9	0	0	-9999						
1994	4	10	0	0	-9999						
1994	4	11	0	0	1.46						
1994	4	12	0	0	-9999						
1994	4	13	0	0	-9999						
1994	4	14	0	0	-9999						
1994	4	15	0	0	-9999						
1994	4	16	0	0	-9999						
1994	4	17	0	0	-9999						
1994	4	18	0	0	-9999						
1994	4	19	0	0	-9999						
1994	4	20	0	0	-9999						
1994	4	21	0	0	-9999						
1994	4	22	0	0	-9999						
1994	4	23	0	0	-9999						
1994	4	24	0	0	-9999						
1994	4	25	0	0	-9999						
1994	4	26	0	0	-9999						
1994	4	27	0	0	-9999						
1994	4	28	0	0	-9999						
1994	4	29	0	0	-9999						
1994	4	30	0	0	-9999						
1994	5	1	0	0	-9999						
1994	5	2	0	0	-9999						
1994	5	3	0	0	-9999						
1994	5	4	0	0	-9999						
1994	5	5	0	0	-9999						
1994	5	6	0	0	-9999						
1994	5	7	0	0	-9999						
1994	5	8	0	0	-9999						
1994	5	9	0	0	-9999						
1994	5	10	0	0	-9999						
1994	5	11	0	0	-9999						
1994	5	12	0	0	-9999						
1994	5	13	0	0	-9999						
1994	5	14	0	0	-9999						
1994	5	15	0	0	-9999						
1994	5	16	0	0	-9999						
1994	5	17	0	0	-9999						
1994	5	18	0	0	-9999						
1994	5	19	0	0	-9999						
1994	5	20	0	0	-9999						
1994	5	21	0	0	-9999						
1994	5	22	0	0	-9999						
1994	5	23	0	0	-9999						
1994	5	24	0	0	-9999						
1994	5	25	0	0	-9999						
1994	5	26	0	0	-9999						
1994	5	27	0	0	-9999						
1994	5	28	0	0	-9999						
1994	5	29	0	0	-9999						
1994	5	30	0	0	-9999						
1994	5	31	0	0	-9999						
1994	6	1	0	0	-9999						
1994	6	2	0	0	-9999						
1994	6	3	0	0	-9999						
1994	6	4	0	0	-9999						
1994	6	5	0	0	-9999						
1994	6	6	0	0	-9999						
1994	6	7	0	0	-9999						
1994	6	8	0	0	-9999						
1994	6	9	0	0	-9999						
1994	6	10	0	0	-9999						
1994	6	11	0	0	-9999						
1994	6	12	0	0	-9999						
1994	6	13	0	0	-9999						
1994	6	14	0	0	-9999						
1994	6	15	0	0	-9999						
1994	6	16	0	0	-9999						
1994	6	17	0	0	-9999						
1994	6	18	0	0	-9999						
1994	6	19	0	0	-9999						
1994	6	20	0	0	-9999						
1994	6	21	0	0	-9999						
1994	6	22	0	0	-9999						
1994	6	23	0	0	-9999						
1994	6	24	0	0	-9999						
1994	6	25	0	0	-9999						
1994	6	26	0	0	-9999						
1994	6	27	0	0	-9999						
1994	6	28	0	0	-9999						
1994	6	29	0	0	0.73						
1994	6	30	0	0	-9999						
1994	7	1	0	0	-9999						
1994	7	2	0	0	-9999						
1994	7	3	0	0	-9999						
1994	7	4	0	0	-9999						
1994	7	5	0	0	-9999						
1994	7	6	0	0	-9999						
1994	7	7	0	0	-9999						
1994	7	8	0	0	-9999						
1994	7	9	0	0	-9999						
1994	7	10	0	0	-9999						
1994	7	11	0	0	-9999						
1994	7	12	0	0	-9999						
1994	7	13	0	0	-9999						
1994	7	14	0	0	-9999						
1994	7	15	0	0	-9999						
1994	7	16	0	0	-9999						
1994	7	17	0	0	-9999						
1994	7	18	0	0	0.86						
1994	7	19	0	0	-9999						
1994	7	20	0	0	-9999						
1994	7	21	0	0	-9999						
1994	7	22	0	0	-9999						
1994	7	23	0	0	-9999						
1994	7	24	0	0	-9999						
1994	7	25	0	0	-9999						
1994	7	26	0	0	-9999						
1994	7	27	0	0	-9999						
1994	7	28	0	0	-9999						
1994	7	29	0	0	-9999						
1994	7	30	0	0	-9999						
1994	7	31	0	0	-9999						
1994	8	1	0	0	-9999						
1994	8	2	0	0	-9999						
1994	8	3	0	0	-9999						
1994	8	4	0	0	-9999						
1994	8	5	0	0	-9999						
1994	8	6	0	0	-9999						
1994	8	7	0	0	-9999						
1994	8	8	0	0	-9999						
1994	8	9	0	0	-9999						
1994	8	10	0	0	-9999						
1994	8	11	0	0	-9999						
1994	8	12	0	0	-9999						
1994	8	13	0	0	-9999						
1994	8	14	0	0	-9999						
1994	8	15	0	0	-9999						
1994	8	16	0	0	-9999						
1994	8	17	0	0	-9999						
1994	8	18	0	0	-9999						
1994	8	19	0	0	-9999						
1994	8	20	0	0	-9999						
1994	8	21	0	0	-9999						
1994	8	22	0	0	0.71						
1994	8	23	0	0	-9999						
1994	8	24	0	0	-9999						
1994	8	25	0	0	-9999						
1994	8	26	0	0	-9999						
1994	8	27	0	0	-9999						
1994	8	28	0	0	-9999						
1994	8	29	0	0	-9999						
1994	8	30	0	0	-9999						
1994	8	31	0	0	-9999						
1994	9	1	0	0	-9999						
1994	9	2	0	0	-9999						
1994	9	3	0	0	-9999						
1994	9	4	0	0	-9999						
1994	9	5	0	0	-9999						
1994	9	6	0	0	-9999						
1994	9	7	0	0	-9999						
1994	9	8	0	0	-9999						
1994	9	9	0	0	-9999						
1994	9	10	0	0	-9999						
1994	9	11	0	0	-9999						
1994	9	12	0	0	-9999						
1994	9	13	0	0	-9999						
1994	9	14	0	0	-9999						
1994	9	15	0	0	-9999						
1994	9	16	0	0	-9999						
